title,authors,year,venue,doi,abstract,keywords,citation_count,source
A 6LoWPAN Accelerator for Internet of Things Endpoint Devices,T. Gomes; F. Salgado; S. Pinto; J. Cabral; A. Tavares,2018,IEEE Internet of Things Journal,10.1109/JIOT.2017.2785659,"The Internet of Things (IoT) is revolutionizing the Internet of the future and the way smart devices, people, and processes interact with each other. Challenges in endpoint devices (EDs) communication are due not only to the security and privacy-related requirements but also due to the ever-growing amount of data transferred over the network that needs to be handled, which can considerably reduce the system availability to perform other tasks. This paper presents an IPv6 over low power wireless personal area networks (6LoWPAN) accelerator for the IP-based IoT networks, which is able to process and filter IPv6 packets received by an IEEE 802.15.4 radio transceiver without interrupting the microcontroller. It offers nearly 13.24% of performance overhead reduction for the packet processing and the address filtering tasks, while guaranteeing full system availability when unwanted packets are received and discarded. The contribution is meant to be deployed on heterogeneous EDs at the network edge, which include on the same architecture, field-programmable gate array (FPGA) technology beside a microcontroller and an IEEE 802.15.4-compliant radio transceiver. Performed evaluations include the low FPGA hardware resources utilization and the energy consumption analysis when the processing and accepting/rejection of a received packet is performed by the 6LoWPAN accelerator.",Constrained devices;field-programmable gate array (FPGA);IEEE 802.15.4;Internet of Things (IoT);IPv6 over low power wireless personal area networks (6LoWPAN);network accelerator;system-on-chip (SoC),44.0,IEEE
"Internet of Things (IoT): Research, Simulators, and Testbeds",M. Chernyshev; Z. Baig; O. Bello; S. Zeadally,2018,IEEE Internet of Things Journal,10.1109/JIOT.2017.2786639,"The Internet of Things (IoT) vision is increasingly being realized to facilitate convenient and efficient human living. To conduct effective IoT research using the most appropriate tools and techniques, we discuss recent research trends in the IoT area along with current challenges faced by the IoT research community. Several existing and emerging IoT research areas such as lightweight energy-efficient protocol development, object cognition and intelligence, as well as the critical need for robust security and privacy mechanisms will continue to be significant fields of research for IoT. IoT research can be a challenging process spanning both virtual and physical domains through the use of simulators and testbeds to develop and validate the initial proof-of-concepts and subsequent prototypes. To support researchers in planning IoT research activities, we present a comparative analysis of existing simulation tools categorized based on the scope of coverage of the IoT architecture layers. We compare existing large-scale IoT testbeds that have been adopted by researchers for examining the physical IoT prototypes. Finally, we discuss several open challenges of current IoT simulators and testbeds that need to be addressed by the IoT research community to conduct large-scale, robust and effective IoT simulation, and prototype evaluations.",Internet of Things (IoT);simulator;testbed;tool,205.0,IEEE
An Energy-Efficient Multiobjective Scheduling Model for Monitoring in Internet of Things,B. Mostafa; A. Benslimane; M. Saleh; S. Kassem; M. Molnar,2018,IEEE Internet of Things Journal,10.1109/JIOT.2018.2792326,"To ensure robustness in wireless networks, monitoring the network state, performance and functioning of the nodes and links is crucial, especially for critical applications. This paper targets Internet of Things (IoT) networks. In the IoT, devices (things) are vulnerable due to security risks from the Internet. Moreover, they are resource-constrained and connected via lossy links. This paper addresses the optimized scheduling of the monitoring role between the embedded devices in IoT networks. The objective is to minimize energy consumption and communication overhead of monitoring, for each node. Several subsets of the potential monitoring nodes are generated by solving a minimal vertex cover (VC) problem with constraint generation. Assuming periodical functioning, VCs are optimally assigned to time periods in order to distribute the monitoring role throughout the entire network. The assignment of VCs to periods is modeled as a multiobjective generalized assignment problem. To further optimize the energy consumption of the monitors, they are sequenced across time periods to minimize the state transitions of nodes. This part of the problem is modeled as a traveling salesman path problem. The proposed model is tested on randomly generated instances and the experimental results illustrate its effectiveness to optimize the scheduled monitoring for fault tolerance in IoT networks.",Energy-efficient monitoring;generalized assignment problem (GAP);Internet of Things (IoT);robustness;scheduling;traveling salesman path (TSP) problem;vertex cover (VC),24.0,IEEE
Review of Internet of Things (IoT) in Electric Power and Energy Systems,G. Bedi; G. K. Venayagamoorthy; R. Singh; R. R. Brooks; K. -C. Wang,2018,IEEE Internet of Things Journal,10.1109/JIOT.2018.2802704,"A transformation is underway in electric power and energy systems (EPESs) to provide clean distributed energy for sustainable global economic growth. Internet of Things (IoT) is at the forefront of this transformation imparting capabilities, such as real-time monitoring, situational awareness and intelligence, control, and cyber security to transform the existing EPES into intelligent cyber-enabled EPES, which is more efficient, secure, reliable, resilient, and sustainable. Additionally, digitizing the electric power ecosystem using IoT improves asset visibility, optimal management of distributed generation, eliminates energy wastage, and create savings. IoT has a significant impact on EPESs and offers several opportunities for growth and development. There are several challenges with the deployment of IoT for EPESs. Viable solutions need to be developed to overcome these challenges to ensure continued growth of IoT for EPESs. The advancements in computational intelligence capabilities can evolve an intelligent IoT system by emulating biological nervous systems with cognitive computation, streaming and distributed analytics including at the edge and device levels. This review paper provides an assessment of the role, impact and challenges of IoT in transforming EPESs.","Challenges of Internet of Things (IoT);communications;networking, and security for IoT;computational intelligence;impact of IoT;intelligent power and energy systems;IoT;sensors and devices for IoT;services and applications for IoT;smart home;SmartPark",539.0,IEEE
Agile IoT for Critical Infrastructure Resilience: Cross-Modal Sensing As Part of a Situational Awareness Approach,"Luke Russell, R. Goubran, F. Kwamena, F. Knoefel",2018.0,IEEE Internet of Things Journal,10.1109/JIOT.2018.2818113,"Internet of Things (IoT) continues proliferation. Hospitals, energy industry, power grid, food and water, transportation, etc., are critical asset resources. Critical systems must remain steadfast and reliable. This IoT evolution, sometimes termed, industrial IoT, is significant for critical infrastructure. In harsh climates, human lives can depend daily on these systems functioning well. Better situational awareness can improve resilience of these critical infrastructures and make them increasingly robust. In this paper, the method of agile IoT for critical infrastructure resilience is presented, and an agile IoT model is presented to use signal processing middleware to enable existing sensors commonly deployed in critical infrastructure to be agilely repurposed to: 1) add parallel communication methods and/or 2) sense additional mechanical/physical parameters using existing hardware. The results of the proposed method are applied to use common temperature sensors to detect nontemperature parameters: fluid flow in a pipe (manufacturing or water), ice buildup (transportation or energy infrastructure), and of mechanical door state (health venues of life-saving medicine stored in hospital refrigerators).",,33.0,Semantic Scholar
Securing the Internet of Things in the Age of Machine Learning and Software-Defined Networking,F. Restuccia; S. D’Oro; T. Melodia,2018,IEEE Internet of Things Journal,10.1109/JIOT.2018.2846040,"The Internet of Things (IoT) realizes a vision where billions of interconnected devices are deployed just about everywhere, from inside our bodies to the most remote areas of the globe. As the IoT will soon pervade every aspect of our lives and will be accessible from anywhere, addressing critical IoT security threats is now more important than ever. Traditional approaches where security is applied as an afterthought and as a “patch” against known attacks are insufficient. Indeed, next-generation IoT challenges will require a new secure-by-design vision, where threats are addressed proactively and IoT devices learn to dynamically adapt to different threats. To this end, machine learning (ML) and software-defined networking (SDN) will be key to provide both reconfigurability and intelligence to the IoT devices. In this paper, we first provide a taxonomy and survey the state of the art in IoT security research, and offer a roadmap of concrete research challenges related to the application of ML and SDN to address existing and next-generation IoT security threats.",Authentication;challenges;Internet of Things (IoT);perspective;security;survey;trust,189.0,IEEE
Is Fragmentation a Threat to the Success of the Internet of Things?,M. Aly; F. Khomh; Y. -G. Guéhéneuc; H. Washizaki; S. Yacout,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2863180,"Internet of Things (IoT) aims to bring connectivity to almost every objects, i.e., things, found in the physical space. It extends connectivity to everyday things, however, such increase in the connectivity creates many prominent challenges. Context: Generally, IoT opens the door for new applications for machine-to-machine and human-to-human communications. The current trend of collaborating, distributed teams through the Internet, mobile communications, and autonomous entities, e.g., robots, is the first phase of the IoT to develop and deliver diverse services and applications. However, such collaborations is threatened by the fragmentation that we witness in the industry nowadays as it brings difficulty to integrate the diverse technologies of the various objects found in IoT systems. Diverse technologies induce interoperability issues while designing and developing various services and applications, hence, limiting the possibility of reusing the data, more specifically, the software (including frameworks, firmware, applications programming interfaces, and user interfaces) as well as of facing issues, like security threats and bugs, when developing new services or applications. Different aspects of handling data collection ranging from discovering smart sensors for data collection, integrating and applying reasoning on them must be available to provide interoperability and flexibility to the diverse objects interacting in the system. However, such approaches are bound to be challenged in future IoT scenarios as they bring substantial performance impairments in settings with the very large number of collaborating devices and technologies. Objective: We raise the awareness of the community about the lack of interoperability among technologies developed for IoT and challenges that their integration poses. We also provide guidelines for researchers and practitioners interested in connecting IoT networks and devices to develop services and applications. Method: We apply the methods advocated by the evidence-based software engineering paradigm. This paradigm and its core tool, the systematic literature review (SLR), were introduced to the software-engineering research community early 2004 to help researchers and industry systematically and objectively gather and aggregate evidences about different topics. In this paper, we conduct an SLR of both IoT interoperability issues and the state-of-practice of IoT technologies in the industry, highlighting the integration challenges related to the IoT that have significantly shifted the landscape of Internet-based collaborative services and applications nowadays. Results: Our SLR identifies a number of studies from journals, conferences, and workshops with the highest quality in the field. This SLR reports different trends, including frameworks and technologies, for the IoT for better comprehension of the paradigm and discusses the integration and interoperability challenges across the different layers of this technology while shedding light on the current IoT state-of-practice. It also discusses some future research directions for the community.",Internet of Things (IoT);interoperability;models;protocols;standards;technologies and frameworks,35.0,IEEE
ChamelIoT: An Agnostic Operating System Framework for Reconfigurable IoT Devices,M. Silva; A. Tavares; T. Gomes; S. Pinto,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2863545,"This letter proposes ChamelIoT, an agnostic operating system (OS) framework for reconfigurable Internet of Things (IoT) devices. ChamelIoT is bringing a reconfigurable hardware OS stack supported by a semantically enriched infrastructure that aims at offering an easy-to-use tool for building (mainly) low-power and low-cost IoT sensors with performance, real-time, and power consumption advantages.",Design automation;hardware operating system (OS);Internet of Things (IoT);reconfigurable computing,8.0,IEEE
Privacy in Internet of Things: From Principles to Technologies,C. Li; B. Palanisamy,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2864168,"Ubiquitous deployment of low-cost smart devices and widespread use of high-speed wireless networks have led to the rapid development of the Internet of Things (IoT). IoT embraces countless physical objects that have not been involved in the traditional Internet and enables their interaction and cooperation to provide a wide range of IoT applications. Many services in the IoT may require a comprehensive understanding and analysis of data collected through a large number of physical devices that challenges both personal information privacy and the development of IoT. Information privacy in IoT is a broad and complex concept as its understanding and perception differ among individuals and its enforcement requires efforts from both legislation as well as technologies. In this paper, we review the state-of-the-art principles of privacy laws, the architectures for IoT and the representative privacy enhancing technologies (PETs). We analyze how legal principles can be supported through a careful implementation of PETs at various layers of a layered IoT architecture model to meet the privacy requirements of the individuals interacting with IoT systems. We demonstrate how privacy legislation maps to privacy principles which in turn drives the design of necessary PETs to be employed in the IoT architecture stack.",General data protection regulation (GDPR);Internet of Things (IoT);privacy;privacy-by-design (PbD);privacy enhancing technologies (PETs);privacy laws,85.0,IEEE
Joint Job Partitioning and Collaborative Computation Offloading for Internet of Things,S. Mu; Z. Zhong; D. Zhao; M. Ni,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2866945,"Advances in Internet of Things (IoT) bring massive intelligent applications, many of which are computation intensive and time sensitive. With limited resources of IoT devices, mobile computation offloading can be exploited to offload part of the applications to nearby devices that have more powerful computing resources, thereby speeding up the applications and reducing the energy consumption. In this paper, we consider application partitioning and collaborative computation offloading in IoT networks, in order to meet the completion deadline of the applications while minimizing the overall energy consumption. The problem is formulated as a binary integer linear programming problem, which is transformed into a weighted bipartite matching problem and then solved by the centralized Kuhn-Munkres algorithm. To fit the large-scale IoT scenarios, three distributed algorithms are then introduced from different perspectives. The first one is referred to as the noncooperative matching (NCM) algorithm, where each node makes offloading decision based on its own interest in minimizing energy consumption. Afterward, an asynchronous greedy matching (AGM) algorithm is developed by considering the mutual interest of the requestor and collaborator pairs in terms of their energy consumptions. Finally, a maximum differential energy matching (MDEM) algorithm is devised by relaxing the network stability requirement, which can further benefit the energy efficiency for all network nodes. Theoretical analysis and simulation results demonstrate that both the NCM and AGM algorithms guarantee the network stability and improve the energy saving compared with entirely local execution, while the MDEM algorithm can further achieve near-optimal energy consumption at the expense of higher implementation overheads.",Collaborative computation offloading;Internet of Things (IoT);job partitioning;Kuhn–Munkres (K–M) algorithm;matching;network stability,33.0,IEEE
Immune System for the Internet of Things Using Edge Technologies,R. Roman; R. Rios; J. A. Onieva; J. Lopez,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2867613,"The Internet of Things (IoT) and edge computing are starting to go hand in hand. By providing cloud services close to end-users, edge paradigms enhance the functionality of IoT deployments, and facilitate the creation of novel services such as augmented systems. Furthermore, the very nature of these paradigms also enables the creation of a proactive defense architecture, an immune system, which allows authorized immune cells (e.g., virtual machines) to traverse edge nodes and analyze the security and consistency of the underlying IoT infrastructure. In this paper, we analyze the requirements for the development of an immune system for the IoT, and propose a security architecture that satisfies these requirements. We also describe how such a system can be instantiated in edge computing infrastructures using existing technologies. Finally, we explore the potential application of immune systems to other scenarios and purposes.",Edge computing;immune systems;Internet of Things (IoT);security,27.0,IEEE
Internet of Things (IoT) Cybersecurity Research: A Review of Current Research Topics,Y. Lu; L. D. Xu,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2869847,"As an emerging technology, the Internet of Things (IoT) revolutionized the global network comprising of people, smart devices, intelligent objects, data, and information. The development of IoT is still in its infancy and many related issues need to be solved. IoT is a unified concept of embedding everything. IoT has a great chance to make the world a higher level of accessibility, integrity, availability, scalability, confidentiality, and interoperability. However, how to protect IoT is a challenging task. System security is the foundation for the development of IoT. This article systematically reviews IoT cybersecurity. The key considerations are the protection and integration of heterogeneous smart devices and information communication technologies (ICT). This review provides useful information and insights to researchers and practitioners who are interested in cybersecurity of IoT, including the current research of IoT cybersecurity, IoT cybersecurity architecture and taxonomy, key enabling countermeasures and strategies, major applications in industries, research trends and challenges.",Cybersecurity;enterprise systems;industrial information integration;industrial informatics;Internet of Things (IoT);radio frequency identification (RFID);smart device;wireless sensor networks (WSNs),347.0,IEEE
Byzantine Resilient Protocol for the IoT,"A. A. Fröhlich, R. Scheffel, David Kozhaya, P. Veríssimo",2019.0,IEEE Internet of Things Journal,10.1109/JIOT.2018.2871157,"Wireless sensor networks (WSNs), often adhering to a single gateway architecture, constitute the communication backbone for many modern cyber-physical systems (CPSs). Consequently, fault-tolerance in CPS becomes a challenging task, especially when accounting for failures (potentially malicious) that incapacitate the gateway or disrupt the nodes-gateway communication, not to mention the energy, timeliness, and security constraints demanded by CPS domains. This paper aims at ameliorating the fault-tolerance of WSN-based CPS to increase system and data availability. To this end, we propose a replicated gateway architecture augmented with energy-efficient real-time Byzantine-resilient data communication protocols. At the sensors level, we introduce fault-tolerant trustful space-time protocol, a geographic routing protocol capable of delivering messages in an energy-efficient and timely manner to multiple gateways, even in the presence of voids caused by faulty and malicious sensor nodes. At the gateway level, we propose a multigateway synchronization protocol, which we call ByzCast, that delivers timely correct data to CPS applications, despite the failure or maliciousness of a number of gateways. We show, through extensive simulations, that our protocols provide better system robustness yielding an increased system and data availability while meeting CPS energy, timeliness, and security demands.",,17.0,Semantic Scholar
Recent Advances in Information-Centric Networking-Based Internet of Things (ICN-IoT),S. Arshad; M. A. Azam; M. H. Rehmani; J. Loo,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2873343,"Information-centric networking (ICN) is being realized as a promising approach to accomplish the shortcomings of current Internet protocol-address-based networking. ICN models are based on naming the content to get rid of address-space scarcity, accessing the content via name-based-routing, and caching the content at intermediate nodes to provide reliable, efficient data delivery, and self-certifying contents to ensure better security. Obvious benefits of ICN in terms of fast and efficient data delivery and improved reliability raises ICN as highly promising networking model for Internet of Things (IoT) like environments. IoT aims to connect anyone and/or anything at any time by any path on any place. From last decade, IoT attracts both industry and research communities. IoT is an emerging research field and still in its infancy. Thus, this paper presents the potential of ICN for IoT by providing state-of-the-art literature survey. We discuss briefly the feasibility of ICN features and their models (and architectures) in the context of IoT. Subsequently, we present a comprehensive survey on ICN-based caching, naming, security, and mobility approaches for IoT with appropriate classification. Furthermore, we present operating systems and simulation tools for ICN-IoT. Finally, we provide important research challenges and issues faced by ICN for IoT.",Content centric networking (CCN);ICN-IoT caching schemes;ICN-IoT mobility schemes;ICN-IoT naming schemes;ICN-IoT security schemes;information-centric networking (ICN);Internet of Things (IoT);named data networking (NDN),180.0,IEEE
UAV-Aided MIMO Communications for 5G Internet of Things,W. Feng; J. Wang; Y. Chen; X. Wang; N. Ge; J. Lu,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2874531,"The unmanned aerial vehicle (UAV) is a promising enabler of the Internet of Things (IoT) vision, due to its agile maneuverability. In this paper, we explore the potential gain of UAV-aided data collection in a generalized IoT scenario. Particularly, a composite channel model, including both large-scale and small-scale fading is used to depict typical propagation environments. Moreover, rigorous energy constraints are considered to characterize IoT devices as practically as possible. A multiantenna UAV is employed, which can communicate with a cluster of single-antenna IoT devices to form a virtual MIMO link. We formulate a whole-trajectory-oriented optimization problem, where the transmission duration and the transmit power of all devices are jointly designed to maximize the data collection efficiency for the whole flight. Different from previous studies, only the slowly varying large-scale channel state information is assumed available, to coincide with the fact that practically it is quite difficult to predictively acquire the random small-scale channel fading prior to the UAV flight. We propose an iterative scheme to overcome the nonconvexity of the formulated problem. The presented scheme can provide a significant performance gain over traditional schemes and converges quickly.",Energy constraint;Internet of Things (IoT);large-scale channel state information (CSI);MIMO;unmanned aerial vehicle (UAV),177.0,IEEE
Enhancing Identifier/Locator Splitting Through Social Internet of Things,L. Atzori; C. Campolo; B. Da; R. Girau; A. Iera; G. Morabito; S. Quattropani,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2877756,"In recent years identifier/locator splitting (ILS) has been proposed as a promising future Internet solution to the so-called “semantic overload of addresses” problem. It is currently under debate whether the ILS approach, which entails identifier-to-locator resolution procedures, could ensure scalability, session continuity, and mobility across heterogeneous multiaccess networks as demanded by Internet of Things (IoT). In this paper, it is proposed to exploit the Social IoT concept to address the above issues. More specifically, a scheme is introduced that browses the social graph of devices to find information about the locator of the intended destination. Results show that the proposed solution outperforms the alternative ILS approaches in terms of number of hops and latency incurred to accomplish the resolution procedure, at the cost of a slight increase in the storage demands to track social relationships.",Future Internet;identifier/locator splitting (ILS);Internet of Things (IoT);Social Internet of Things (SIoT),13.0,IEEE
Caching in Energy Harvesting Aided Internet of Things: A Game-Theoretic Approach,J. Yao; N. Ansari,2019,IEEE Internet of Things Journal,10.1109/JIOT.2018.2880483,"The Internet of Things (IoT) sensing service enables users to monitor the ambient environment by fetching data from IoT sensors. The explosive growth of mobile users and IoT applications injects massive traffic to the IoT network and also speeds up the drainage of sensor batteries. Caching at the IoT gateway (GW), which stores the IoT data and directly send them to the users, can avoid activating sensors too frequently, hence reducing the traffic in the IoT network as well as the energy consumption of sensors. To overcome the limited energy capacity of sensors, energy transmitters (ETs) are deployed to charge them. Practically, the GW and ETs may be owned by different operators, and the GW operator needs to incentivize ETs to provision the charging service. In this paper, we formulate a Stackelberg game in the cache-enabled energy harvesting aided IoT framework to improve the user quality of service. Caching strategies, incentive strategies, and ET transmission power strategies are jointly optimized to find the Stackelberg equilibrium by our proposed alternative direction approach. Simulation results elicit the benefits of our framework and demonstrate the performances of our proposed algorithm.",Caching;energy harvesting;Internet of Things (IoT);power allocation;Stackelberg game,64.0,IEEE
From Cloud Down to Things: An Overview of Machine Learning in Internet of Things,F. Samie; L. Bauer; J. Henkel,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2893866,"With the numerous Internet of Things (IoT) devices, the cloud-centric data processing fails to meet the requirement of all IoT applications. The limited computation and communication capacity of the cloud necessitate the edge computing, i.e., starting the IoT data processing at the edge and transforming the connected devices to intelligent devices. Machine learning (ML) the key means for information inference, should extend to the cloud-to-things continuum too. This paper reviews the role of ML in IoT from the cloud down to embedded devices. Different usages of ML for application data processing and management tasks are studied. The state-of-the-art usages of ML in IoT are categorized according to their application domain, input data type, exploited ML techniques, and where they belong in the cloud-to-things continuum. The challenges and research trends toward efficient ML on the IoT edge are discussed. Moreover, the publications on the “ML in IoT” are retrieved and analyzed systematically using ML classification techniques. Then, the growing topics and application domains are identified.",Edge computing;embedded intelligence;embedded systems;Internet of Things (IoT);machine learning (ML),179.0,IEEE
NSAC: A Novel Clustering Protocol in Cognitive Radio Sensor Networks for Internet of Things,M. Zheng; S. Chen; W. Liang; M. Song,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2898166,Clustering is an effective method to manage communications in cognitive radio sensor networks (CRSNs). This letter proposes a network stability-aware clustering (NSAC) protocol for CRSNs. Spectrum dynamics and energy consumption are for the first time simultaneously integrated into the protocol design of NSAC. Extensive simulations show that the proposed NSAC protocol obviously outperforms existing methods in the aspects of network stability and energy consumption.,Clustering protocol;cognitive radio;Internet of Things;wireless sensor networks,58.0,IEEE
Secure Industrial Internet of Things Critical Infrastructure Node Design,J. M. Mcginthy; A. J. Michaels,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2903242,"Integration of industrial Internet of Things (IIoT) into critical infrastructures (CIs) is aiming to improve efficiency in many crucial areas. The positive benefits of IIoT are increasing the demand for devices, but without proper security design foundations, CIs may be open to many different attack vectors. This lack of IIoT device security standards is a major concern. Due to the nature of these infrastructures and impact of compromises, CI device security is an utmost concern and must be focused on during all phases of development and manufacturing as opposed to the addition of security after functional design as seen with many current Internet of Things (IoT) devices. Many of these sensors and devices have limited resources, such as low power consumption, reduced memory storage, and reduced fixed-point processing capabilities. Traditional security protocols and solutions are often not practical on these restrained devices, and there are no current standards for characterizing device security. This paper presents a candidate security level-based architecture for low power IoT-CI devices implementing modular, low power, security primitives that are shown through simulation models and embedded software implementation to create a robustly layered defense-in-depth IoT architecture. This candidate architecture will help provide a foundation for future CI-IoT device security standardization.",Critical infrastructure (CI);encryption;industrial Internet of Things (IIoT);low-power;physical layer security;secure architecture,34.0,IEEE
Distributed Learning for Low Latency Machine Type Communication in a Massive Internet of Things,T. Park; W. Saad,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2903832,"The Internet of Things (IoT) will encompass a massive number of machine type devices that must wirelessly transmit, in near real-time, a diverse set of messages sensed from their environment. Designing resource allocation schemes to support such coexistent, heterogeneous communication is hence a key IoT challenge. In particular, there is a need for self-organizing resource allocation solutions that can account for unique IoT features, such as massive scale and stringent resource constraints. In this paper, a novel finite memory multistate sequential learning framework is proposed to enable diverse IoT devices to share limited communication resources, while transmitting both delay-tolerant, periodic messages and urgent, critical messages. The proposed learning framework enables the IoT devices to learn the number of critical messages and to reallocate the communication resources for the periodic messages to be used for the critical messages. Furthermore, the proposed learning framework explicitly accounts for IoT device limitations in terms of memory and computational capabilities. The convergence of the proposed learning framework is proved, and the lowest expected delay that the IoT devices can achieve using this learning framework is derived. Furthermore, the effectiveness of the proposed learning algorithm in IoT networks with different delay targets, network densities, probabilities of detection, and memory sizes is analyzed in terms of the probability of a successful random access (RA) request and percentage of devices that learned correctly. Simulation results show that, for a delay threshold of 1.25 ms, the average achieved delay is 0.71 ms and the delay threshold is satisfied with probability 0.87. Moreover, for a massive network, a delay threshold of 2.5 ms is satisfied with probability 0.92. The results also show that the proposed learning algorithm is very effective in reducing the delay of urgent, critical messages by intelligently reallocating the communication resources allocated to the delay-tolerant, periodic messages.",Finite memory learning;Internet of Things (IoT);machine learning;multistate learning,39.0,IEEE
A Reliable Energy Efficient Dynamic Spectrum Sensing for Cognitive Radio IoT Networks,J. Adu Ansere; G. Han; H. Wang; C. Choi; C. Wu,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2911109,"The Internet of Things (IoT) that allows connectivity of network devices embedded with sensors undergoes severe data exchange interference as the unlicensed spectrum band becomes overcrowded. By applying cognitive radio (CR) capabilities to IoT, a novel cognitive radio IoT (CR-IoT) network arises as a promising solution to tackle the spectrum scarcity problem in conventional IoT network. CR is a form of wireless communication whereby a radio is dynamically programmed and configured to detect available spectrum channels. This enhances the spectrum utilization efficiency of radio frequency while avoiding interference and overcrowding to other users. Energy efficiency in CR-IoT network must be carefully formulated since the sensor nodes consume significant energy to support CR operations, such as in dynamic spectrum sensing and switching. In this paper, we study channel spectrum sensing to boost energy efficiency in clustered CR-IoT networks. We propose a two-way information exchange dynamic spectrum sensing algorithms to improve energy efficiency for data transmission in licensed channels. In addition, the concern of the energy consumption in dynamic spectrum sensing and switching, we propose an energy efficient optimal transmit power allocation technique to enhance the dynamic spectrum sensing and data throughput. Simulation results validate that the proposed dynamic spectrum sensing technique can significantly reduce the energy consumption in CR-IoT networks.",Cognitive radio Internet of Things (CR-IoT);dynamic spectrum sensing;energy efficiency;licensed channel utilization,104.0,IEEE
Resilience of IoT Systems Against Edge-Induced Cascade-of-Failures: A Networking Perspective,J. Wang; S. Pambudi; W. Wang; M. Song,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2913140,"Internet of Things (IoT) is a networking paradigm that interconnects physical systems to the cyber world, to provide automation and intelligence via interdependent links between the two domains. Such interdependence renders IoT systems vulnerable to random failures, e.g., broken communication links or crashed cyber instances, because a single incident in one domain can develop into a cascade-of-failures across domains, which dissolves the network structure, and has devastating consequences. To answer how robust an IoT system is, this paper studies its resilience by examining the impact of edge- and jointly-induced cascades, that is, a sequence of failures caused by randomly broken physical links (and simultaneous failing cyber nodes). Resilience of an IoT system is quantified by two new metrics, the critical edge disconnecting probability  $\phi _{cr}$ , i.e., the maximum intensity of random failures the system can withstand, and the cascade length  $\tau _{cf}$ , i.e., the lifetime of a cascade. For IoT systems with Poisson degree distributions, we derive exact solutions for the critical disconnecting probability  $\phi _{cr}$ , above which an edge-induced cascade will completely fragment the network. We also find that the critical condition  $\phi _{cr}$  marks a dichotomy of the expected cascade length  $\mathbb {E}(\tau _{cf})$ : for the super-critical ( $\phi > \phi _{cr}$ ) scenario, we obtain  $\mathbb {E}(\tau _{cf}) \sim \exp (1-\phi)$  through analysis, while for the subcritical scenario, we observe  $\mathbb {E}(\tau _{cf}) \sim \exp (1/1-\phi)$  through simulations. With these results, the final outcome of a cascade can be anticipated upon the initial failures, while the reaction window of time-sensitive countermeasures can be obtained before a cascade fully unfolds.",Interdependent networks;Internet of Things (IoT) architecture;network resilience,22.0,IEEE
Targeted Ransomware: A New Cyber Threat to Edge System of Brownfield Industrial Internet of Things,M. Al-Hawawreh; F. d. Hartog; E. Sitnikova,2019,IEEE Internet of Things Journal,10.1109/JIOT.2019.2914390,"Much value in a brownfield Industrial Internet of Things (IIoT) implementation resides at its edge tier, where new types of devices and technologies are deployed to interoperate the legacy industrial control systems with servers and systems in the cloud, and leverage the benefits of the Internet of Things technologies. One of these novel devices is the IIoT edge gateway, which is used to connect critical physical systems with the cyber world, and to provide consistent storage, processing, and analytical and controlling capabilities. However, these devices also come with new and advanced threats such as targeted ransomware. In this paper, we investigate this threat in detail. We studied the threat actors' motivations, the anatomy of ransomware for edge gateways, and the likelihood of such ransomware attack to happen in the future. We found that threat actors find IIoT edge gateways attractive ransomware targets due to their vital roles and functionalities in working with critical infrastructure and that the likelihood of such attack to occur is high. We built the first version of a ransomware security testbed for IIoT, and for test purposes, we developed a first version of ransomware target at IIoT edge gateway in a brownfield system. From our measurements we conclude that kernel-related activity parameters are significant indicators of the abnormal behavior caused by crypto-ransomware attacks in IIoT edge gateways, much more so even than for similar attacks in information technology server workstation. Thereby, some potential countermeasures for addressing targeted ransomware in IIoT systems are recommended as proactive strategies for dealing with attackers' new techniques and tactics.",Brownfield Industrial Internet of Things (IIoT);countermeasures;crypto-ransomware;cybersecurity;edge gateway;logic locking;targeted ransomware,61.0,IEEE
