"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cyber-Physical Systems for Real-Time Management in the Urban Water Cycle","C. Sun; G. Cembrano; V. Puig; J. Meseguer","Institut de Robotica I Informatica Industrial (CSIC-UPC), Barcelona, Spain; Institut de Robotica I Informatica Industrial (CSIC-UPC), Water Technology Centre (CETaqua), Barcelona, Spain; Institut de Robotica I Informatica Industrial (CSIC-UPC), Barcelona, Spain; Water Technology Centre (CETaqua), Barcelona, Spain",2018 International Workshop on Cyber-physical Systems for Smart Water Networks (CySWater),"16 Aug 2018","2018","","","5","8","In the last few decades, water systems management has been increasingly developed into cyber-physical systems. They are based on advanced intelligent systems embedded with controllers, sensors and actuators to enable efficient use of water, energy consumption, emergency response and environmental guarantee. This paper provides an overview about cyber-physical system in reliable and efficient management of urban water cycle. A real pilot based on the Badalona urban drainage water network is provided as a case study.","","978-1-5386-6744-6","10.1109/CySWater.2018.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8434710","efficient;reliable;cyber-physical system;urban water cycle;water management","Real-time systems;Water resources;Cyber-physical systems;Hydraulic systems;Optimization;Solids;Control systems","","20","","12","IEEE","16 Aug 2018","","","IEEE","IEEE Conferences"
"CRSM: Computation Reloading Driven by Spatial-Temporal Mobility in Edge-Assisted Automated Industrial Cyber-Physical Systems","X. Niu; C. Yu; H. Jin","National Engineering Research Center for Big Data Technology and System, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China",IEEE Transactions on Industrial Informatics,"30 Sep 2022","2022","18","12","9283","9291","Edge Computing, as an emerging computing mode, transfers computing capacity from the cloud center to the edge of new generation automation sensor networks. However, the surge in the number of sensor devices has resulted in the edge server overload. Fortunately, with the development of hardware technology, the computing capacity of sensor devices has improved. Therefore, we introduce a new concept of computation reloading, that is, resource-rich servers allocate tasks to sensor devices with stronger computing capacity. Most previous real-time EC researches have not considered sensor devices’ higher spatial–temporal mobility, which results in continuous computation migration and high delay. In this article, we expose a computation reloading scheme driven by spatial–temporal mobility (CRSM), for single time slice and multiple time slices cases, computation tasks are allocated in advance by predicting sensor devices locations. The experiments demonstrate that our scheme outperforms other methods in terms of shorting industrial cyber-physical systems delays.","1941-0050","","10.1109/TII.2022.3166795","National Natural Science Foundation of China(grant numbers:61472149); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756249","Automation sensor networks;computation reloading;industrial cyber-physical systems;real-time edge computing;spatial–temporal mobility","Servers;Task analysis;Delays;Production;Computational modeling;Industrial Internet of Things;Cyber-physical systems","","6","","19","IEEE","12 Apr 2022","","","IEEE","IEEE Journals"
"On Scheduling Policy for Multiprocess Cyber–Physical System With Edge Computing","Y. Qiu; S. Wu; Y. Wang; J. Jiao; N. Zhang; Q. Zhang","Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China",IEEE Internet of Things Journal,"22 Sep 2022","2022","9","19","18559","18572","In this article, we consider a cyber–physical system (CPS) with multiple Internet of Things (IoT) devices. There are multiple independent linear time-invariant processes in the system, which are sampled by sensors, scheduled by controllers, and controlled by actuators. In the literature of wireless control CPS, commonly assume that the system just have one controller and ignore the processing time on server. In this work we employ the edge computing, the controllers are facilitated by edge server and cloud server. The processing time of status update depends on the characteristic of different servers and processes. By taking into account such conditions, we mainly investigate how to choose the destination of status updates (i.e., edge server or cloud server) to minimize the average mean square error (MSE) of the entire system. To address this issue, we formulate a Markov decision process (MDP) problem and obtain the optimal scheduling policy. The threshold property of the optimal scheduling policy is proved, and a suboptimal policy is proposed to overcome the curse of dimensionality. Furthermore, the processing preemption mechanism is considered to schedule the status updates more flexibly, and its consistency property is proved. The simulation results illustrate that the selection of controller is related to the timeliness of process and show the superiority of the proposed policies.","2327-4662","","10.1109/JIOT.2022.3161356","National Key Research and Development Program of China(grant numbers:2020YFB1806403); National Natural Science Foundation of China(grant numbers:61871147,61831008,62071141); Shenzhen Municipal Science and Technology Plan(grant numbers:GXWD20201230155427003-20200730122528002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739691","Age of Information (AoI);cyber-physical system (CPS);edge computing;Internet of Things (IoT);multiprocess;preemption","Servers;Process control;Task analysis;Sensors;Wireless sensor networks;Internet of Things;Wireless communication","","4","","35","IEEE","22 Mar 2022","","","IEEE","IEEE Journals"
"Mobile machine control in the internet of things","Yuanbin Cheng","School of Mathematics & Computer Science, Jianghan University, Wuhan, China",2011 Second International Conference on Mechanic Automation and Control Engineering,"18 Aug 2011","2011","","","4151","4153","With the Internet of Things, a new times of mobile machine control will come. Meanwhile,some new problems will come too. Speak ordinarily, a mobile machine control system should have the properties of realtimeness, stability, reliability, and control precision. But in the environment of the Internet of Things, the transmission of wireless signal is unstable, that may affect the performance of a mobile machine control system. In this paper, some countermeasures are proposaled, which include the combination of remote control and automatic control, the combination of large-scale remote controll and small-scale control, and the combination of global centralized control strategy and local distributed control strategy. By these methods, we can improve reliability and ensure the realtimeness, stability, and control precision of a mobile machinery control system.","","978-1-4244-9439-2","10.1109/MACE.2011.5987918","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5987918","the Internet of Things;Cyber-Physical System;automated mobile machine;automatic control","Mobile communication;Internet;Machine control;Reliability;Computers;Mathematics;Wireless communication","","","","","IEEE","18 Aug 2011","","","IEEE","IEEE Conferences"
"Backscatter Wireless Communications and Sensing in Green Internet of Things","U. S. Toro; K. Wu; V. C. M. Leung","College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China",IEEE Transactions on Green Communications and Networking,"16 Feb 2022","2022","6","1","37","55","Internet of Things (IoT) is a key technology for enabling ubiquitous applications that interconnect with cyber-physical systems in various environments. However, its large scale adoption is strongly impeded by the limited energy available for most IoT devices that are battery-powered, and further challenged by the growing demands to pack increasing functionalities into IoT devices while shrinking their sizes. To address these problems, researchers have developed techniques for energy harvesting, wireless power transfer, and minimizing power consumption in the sensing, communication and computation components of IoT nodes, as found in many surveys. In contrast, this paper surveys Backscatter Communication (BackCom), a recently emerged technique that enables green IoT through joint wireless communication and sensing and potentially allows IoT devices to operate without batteries. The operating principle of BackCom-based green IoT, its architecture and evolution are presented. Also state-of-the-art applications such as healthcare, agriculture, human activity recognition, transportation and mobile IoT are reviewed together with the operational and security challenges faced by these applications and potential solution techniques to address these challenges while ensuring a high energy efficiency. Lastly, some future applications of BackCom-based green IoT are discussed.","2473-2400","","10.1109/TGCN.2021.3095792","China NSFC(grant numbers:U2001207,61872248); Guangdong NSF(grant numbers:2017A030312008); Shenzhen Science and Technology Foundation(grant numbers:ZDSYS20190902092853047); Project of DEGP(grant numbers:2019KCXTD005,R2020A045); Guangdong “Pearl River Talent Recruitment Program”(grant numbers:2019ZT08X603); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482542","Green Internet of Things;wireless communications;sensing;backscatter communications","Green products;Sensors;Backscatter;Internet of Things;Receivers;Radiofrequency identification;Energy efficiency","","53","","156","IEEE","13 Jul 2021","","","IEEE","IEEE Journals"
"Analysis of security and privacy challenges in Internet of Things","J. P. Nzabahimana","Department of Computer Systems, Networks and Cybersecurity, National Aerospace University, Kharkiv, Ukraine","2018 IEEE 9th International Conference on Dependable Systems, Services and Technologies (DESSERT)","12 Jul 2018","2018","","","175","178","In this paper, the in-depth meaning of Internet of Things (IoT) was explained. The role it contributes to our daily lives was described. The reason why security and privacy are the biggest challenges facing Internet of Things was given. Confidentiality, integrity and availability of IoT were analyzed. Possible cyber-attacks that can be launched to connected devices were discussed and analyzed. The mitigation to those challenges was provided.","","978-1-5386-5903-8","10.1109/DESSERT.2018.8409122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409122","Internet of Things;Cybersecurity;Privacy;Confidentiality;Availability;Integrity","Internet of Things;Medical services;Firewalls (computing);Privacy;Monitoring;Cameras","","15","","16","IEEE","12 Jul 2018","","","IEEE","IEEE Conferences"
"DDoS Detection at Fog Layer in Internet of Things","S. Dave; S. Degadwala; D. Vyas","Computer Science Engineering-(IOT), G. H Patel College of Engineering & Technology, Gujarat, India; Computer Engineering Department, Sigma Inst. of Engineering, Vadodara, Gujarat, India; Computer Science and Engineering, The Maharaja Sayajirao University of Baroda, Vadodara, Gujarat, India",2022 International Conference on Edge Computing and Applications (ICECAA),"8 Nov 2022","2022","","","610","617","The Internet of Things (IoT) is a quite recent technology that has emerged in recent years. It enables the progression of a diverse wide variety of new venture application options (e.g., wearables, smart homes, smart cities, etc.). However, there are issues with IoT security measures that must be handled in order to maintain a secure connection. In recent years, distributed denial of service (DDOS) attacks has emerged as significant danger to the Internet of Things network. DDoS attacks deplete the resources available to IoT end devices, such as storage and network bandwidth, resulting in difficulties with IoT applications. This study’s goal is to develop an effective DDoS detection framework for IoT environments in the fog layer. The framework uses two types of techniques to deal with both known and unknown attacks. They are signature-based and machine learning-based anomaly detection techniques. Fog computing enables the mitigation framework to be resource efficient.","","978-1-6654-8232-5","10.1109/ICECAA55415.2022.9936524","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9936524","Distributed Denial of Service (DDoS);Internet of Things (IoT);Fog Layer;Anomaly Detection;Machine Learning algorithm","Smart cities;Wearable computers;Smart homes;Machine learning;Denial-of-service attack;Internet of Things;Security","","9","","23","IEEE","8 Nov 2022","","","IEEE","IEEE Conferences"
"An Analysis of Security Challenges in Internet of Things (IoT) based Smart Homes","M. R. Joel; G. Manikandan; G. Bhuvaneswari","Department of Information Technology, Kings Engineering College, Chennai, India; Department of Information Technology, Kings Engineering College, Chennai, India; Department of Computer Science and Engineering, Loyola Institute of Technology, Chennai, India",2023 Second International Conference on Electronics and Renewable Systems (ICEARS),"5 Apr 2023","2023","","","490","497","The term ""Internet of things (IoT) security"" refers to the software industry concerned with protecting the IoT and connected devices. Internet of Things (IoT) is a network of devices connected with computers, sensors, actuators, or users. In IoT, each device has a distinct identity and is required to automatically transmit data over the network. Allowing computers to connect to the Internet exposes them to a number of major vulnerabilities if they are not properly secured. IoT security concerns must be monitored and analyzed to ensure the proper working of IoT models. Protecting personal safety while ensuring accessibility is the main objective of IoT security. This article has surveyed some of the methods and techniques used to secure data. Accuracy, precision, recall, f1 score, and area under the Receiver Operating Characteristic Curve are the assessment metrics utilized to compare the performance of the existing techniques. Further the utilization of machine learning algorithms like Decision Tree, Random Forest, and ANN tests have resulted in an accuracy of 99.4%. Despite the results, Random Forest (RF) performs significantly better. This study will help to gain more knowledge on the smart home automation and its security challenges.","","979-8-3503-4664-0","10.1109/ICEARS56392.2023.10085106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085106","Internet of Things (IoT);sensors;actuators;smart home;security","Radio frequency;Computers;Smart cities;Smart homes;Software;Sensors;Internet of Things","","8","","20","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
"A DDoS attack detection based on deep learning in software-defined Internet of things","J. Wang; Y. Liu; W. Su; H. Feng","National Engineering Laboratory for Next Generation Internet Technologies, Beijing Jiaotong University, Beijing, China; National Engineering Laboratory for Next Generation Internet Technologies, Beijing Jiaotong University, Beijing, China; National Engineering Laboratory for Next Generation Internet Technologies, Beijing Jiaotong University, Beijing, China; National Engineering Laboratory for Next Generation Internet Technologies, Beijing Jiaotong University, Beijing, China",2020 IEEE 92nd Vehicular Technology Conference (VTC2020-Fall),"15 Feb 2021","2020","","","1","5","With the popularity of Internet of Things (IoT) applications, security has become extremely important. A recent distributed denial-of-service (DDoS) attack revealed vulnerabilities that are prevalent in IoT, and many IoT devices accidentally contributed to the DDoS attack. software-defined network provides a way to securely manage IoT devices. In this paper, we first present a general framework for software-defined Internet of Things (SD-IoT). The proposed framework consists of a SD-IoT controller, SD-IoT switches integrated with an IoT gateway, and IoT devices. We then propose a deep learning detection algorithm based on time series using the proposed SD-IoT framework. Finally, experimental results show that the proposed algorithm has good performance.","2577-2465","978-1-7281-9484-4","10.1109/VTC2020-Fall49728.2020.9348652","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9348652","Software-defined Internet of Things;distributed denial of service;deep learning;time series;attack detection","Deep learning;Time series analysis;Logic gates;Denial-of-service attack;Feature extraction;Control systems;Internet of Things","","8","","19","IEEE","15 Feb 2021","","","IEEE","IEEE Conferences"
"An Investigation on Attacks in Application Layer Protocols and Ransomeware Threats in Internet of Things","P. K; B. Nataraj; P. Duraisamy","Computer Science and Engineering, Dr. N. G. P Institute of Technology, TamilNadu, India; Electronics and Communication Engineering, Sri Ramakrishna Engineering College, TamilNadu, India; Computer Science and Engineering, KPR Institute of Engineering and Technology, TamilNadu, India",2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),"5 May 2023","2023","1","","668","672","An Internet of Things is technology that is employed in a variety of smart applications, including Agriculture, economies, residences, and health and fitness. They are a collection of several networked gadgets that connect to the internet and a variety of sensors. The IoT architectures are build up with different layers like perception, network, and application layer. Because these smart gadgets are so widely used, there is very little protection and the potential for assaults. In-depth descriptions of numerous attacks against Internet of Things application layer protocols, Several other attack types, including ransomware assaults and their varieties, are discussed in this review article.","2575-7288","979-8-3503-9737-6","10.1109/ICACCS57279.2023.10112669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112669","Internet of Things;Architecture layers;Application layer;Security threats;Ransomware Attacks;RFID Attacks;Application Layer Protocols","Protocols;Taxonomy;Computer architecture;Agriculture;Internet of Things;Ransomware;Security","","6","","18","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"A new cloud-based network framework for 5G massive Internet of Things connections","Y. Wang; Z. Zhang; P. Zhang; Z. Ma; G. Liu","China United Network Communications Co., Ltd.; QuarkIoE Technology Co., Ltd.; Beijing University of Posts and Telecommunications; Key Lab of Information Coding & Transmission, Southwest Jiaotong University; Key Lab of Information Coding & Transmission, Southwest Jiaotong University",2017 IEEE 17th International Conference on Communication Technology (ICCT),"17 May 2018","2017","","","412","416","It has been predicted that Internet of Things (IoT) connections will be more than 30 billion in 2020. IoT will play an important role in the future 5G era and become new profit growth for mobile operators. Due to the saturation of human to human (H2H) communications, IoT will be the new chance for mobile operators. Especially, along with the development of cellular IoT technology, i.e., Narrowband Internet of Things (NB-IoT) and LTE enhancements for Machine Type Communications (eMTC), mobile operators have proposed “big connections” strategy to develop IoT service. However, the network designed for H2H communications may not be good for the massive IoT connections. In this paper, we propose a cellular network framework for 5G massive IoT connections. Firstly, we briefly introduce the NB-IoT and eMTC from the aspect of protocol volume, key technologies and applications. Secondly, we analyze the existed network framework. At last, we give our proposed network framework for massive IoT connections.","2576-7828","978-1-5090-3944-9","10.1109/ICCT.2017.8359672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359672","cellular internet of things;network framework;Narrow Band IoT (NB-IoT);LTE enhancements for Machine Type Communications (eMTC)","Business;Long Term Evolution;Cloud computing;Internet of Things;5G mobile communication;Servers;Cellular networks","","6","","13","IEEE","17 May 2018","","","IEEE","IEEE Conferences"
"Designing Patient-Oriented Healthcare Services as a System of Systems","I. S. Khayal; A. M. Farid","Geisel School of Medicine @ Dartmouth and Department of Computer Science, Dartmouth College, Hanover, NH; Thayer School of Engineering @ Dartmouth and Department of Computer Science, Dartmouth College, Hanover, NH",2018 13th Annual Conference on System of Systems Engineering (SoSE),"9 Aug 2018","2018","","","233","239","Chronic diseases are on the rise, increasing in number and complexity. Consequently, the needs of patients with chronic diseases are increasing and becoming more complex and multi-faceted; they require addressing not only the physical body, but also behavioral, emotional, and spiritual health. The current healthcare delivery system organically developed to address acute conditions, primarily injury and infection during the mid-19th century, a time when the body was viewed as a machine. This led to the organization of the healthcare delivery system by organ systems into specialties and departments. However, the healthcare delivery system today needs to provide healthcare services that span multiple systems to provide the care patients need. Such care requires services from multiple specialties (e.g., podiatry and endocrinology for diabetes, primary care and psychiatry for behavioral health, and palliative care MDs and chaplains & social workers for end-of-life care) that each effectively functions as its own system. There are currently several limitations and difficulties in designing patient-oriented healthcare services utilizing a system of systems framework. First, clinical models describe the service with a focus on resources. Second, the description tends to be at a high-level of abstraction, leaving the details to the implementer. Finally, the patient is generally modeled as an operand non-participatory agent, being pushed and pulled through the system. This paper describes the use of engineering and systems principles to design patient-oriented healthcare services that provide detail and quantification that classic services do not model. In doing so, these designed system of system models incorporate the detail, data quantification and implementation level information to allow for the success of the clinical aspect of the model to be achieved. This paper presents a medical based description of a system of systems and the engineered system based description of an integrated patient-oriented service.","","978-1-5386-4876-6","10.1109/SYSOSE.2018.8428716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428716","","Modeling;Radio frequency;System of systems;Transportation;Personnel;Diseases","","6","","31","IEEE","9 Aug 2018","","","IEEE","IEEE Conferences"
"Peculiarity of the Internet of Thing Traffic Routing, Selection of the Gateway Location","O. Mahmood; A. Paramonov","Department of Communications Engineering, University of Diyala, Diyala, Iraq; Department of communication networks and data transmission, University of Telecommunications, St. Petersburg, Russia",2018 10th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),"3 Feb 2019","2018","","","1","5","Gateway location selection is one of the main tasks for Internet of Thing networks as it affects both the route length and the quality of the network in general. Objective: This article presents a gateway selection approach for Internet of Things and introduces a selection method for the gateway location, taking into account the quality of its individual sections. Method: The method uses the Floyd-Warshall algorithm and at this end, a simulation model was developed using Mathcad engineering software. Results: As a result, for networks with a high density of nodes, this method allows the network administrator to select the gateway location and accurately select the geometrical service center. Conclusions: The gateway location in the IoT wireless sensor network influences the quality of service and the quality of the network generally.","2157-023X","978-1-5386-9361-2","10.1109/ICUMT.2018.8631222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8631222","Internet of Things;Method;Center of graph;Route searching;IoT","Logic gates;Internet of Things;Routing;Wireless sensor networks;Routing protocols;Telecommunications;Conferences","","4","","13","IEEE","3 Feb 2019","","","IEEE","IEEE Conferences"
"Sustainable Security for Internet of Things","M. De Donno; K. M. Malarski; X. Fafoutis; N. Dragoni; M. N. Petersen; M. S. Berger; S. Ruepp","Technical University of Denmark, Denmark; Technical University of Denmark, Denmark; Technical University of Denmark, Denmark; Technical University of Denmark, Denmark; Technical University of Denmark, Denmark; Technical University of Denmark, Denmark; Technical University of Denmark, Denmark","2019 International Conference on Smart Applications, Communications and Networking (SmartNets)","20 Apr 2020","2019","","","1","4","Internet of Things (IoT) has been one of the leading innovations of the 21st century. However, the future of the IoT heavily depends on the ability of current technologies to incorporate it. On one side, end-devices and network communication need to be energy efficient, affordable, and environmentally friendly. On the other side, no IoT deployment should be placed without ensuring seamless system and network security. In this paper, we define Sustainable Security for Internet of Things (SSIoT), a new research angle that aims at addressing the challenges posed by the IoT, placing sustainability and security as its key pillars.","","978-1-7281-4275-3","10.1109/SmartNets48225.2019.9069776","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9069776","Internet of Things;IoT;Security;Sustainability","Security;Green products;Internet of Things;Sustainable development;Batteries;Industries;Power demand","","3","","30","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Attack Reconstruction for a Class of Cyber-physical Systems with Altering Load","K. Pan; F. Yang; Z. Feng; Q. Pan","School of Automation, Northwestern Polytechnical University, Xi'an, PR China; School of Automation, Northwestern Polytechnical University, Xi'an, PR China; School of Automation, Northwestern Polytechnical University, Xi'an, PR China; School of Automation, Northwestern Polytechnical University, Xi'an, PR China",2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS),"5 Jul 2021","2021","","","78","83","This article mainly studies the problem of attack reconstruction for a class of cyber-physical system (CPS). Firstly, a smart grid system under dynamic load altering attacks (D-LAA) is modeled as a cyber-physical system through the characteristics of cyber-attack. Secondly, we design a robust reconstruction observer with a prescribed H∞ performance to reconstruct the attack signal. Sufficient conditions for the design of the attack reconstruction observer are formulated by matrix inequalities. Finally, the power grid with three generators and six buses is used as an example to verify the feasibility of attack reconstruction scheme.","","978-1-7281-6207-2","10.1109/ICPS49255.2021.9468259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468259","Cyber-physical systems;dynamic load altering attacks;attack reconstruction","Sufficient conditions;Conferences;Power system dynamics;Cyber-physical systems;Observers;Generators;Smart grids","","3","","22","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
"Towards a Visual Grammar for IoT Systems Representation and their Cybersecurity Requirements","A. Gómez-Cabrera; P. J. Escamilla-Ambrosio; A. Rodríguez-Mota; J. Happa","Instituto Politécnico Nacional, Centro de Investigación en Computación, Mexico City, Mexico; Instituto Politécnico Nacional, Centro de Investigación en Computación, Mexico City, Mexico; Instituto Politécnico Nacional, Centro de Investigación en Computación, Mexico City, Mexico; Information Security Group, Royal Holloway, University of London, London, UK",2020 IEEE Colombian Conference on Communications and Computing (COLCOM),"12 Oct 2020","2020","","","1","6","In this paper we present progress towards visual iconography (elements) and a grammar for Internet of Things (IoT) system representations and their cybersecurity requirements. Our visual representation of IoT systems aims to facilitate the identification of the IoT attack surface and the vulnerabilities that an attacker may exploit. The paper first outlines the basic visual elements and the associated grammar, which are then applied to a series of smart home IoT use cases to demonstrate how these can be used to represent these networks and their cybersecurity requirements in a visual and intuitive way. The motivation behind this work is to improve our ability to reason about IoT attack surfaces towards improving our defense capabilities for those systems.","","978-1-7281-8715-0","10.1109/COLCOM50121.2020.9219771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219771","Internet of things;Cybersecurity;Visual Grammar;Cyber-Physical Systems;Attack Surface","Visualization;Conferences;Smart homes;Grammar;Internet of Things;Computer security","","2","","14","IEEE","12 Oct 2020","","","IEEE","IEEE Conferences"
"ECTX-CoAP : An Enhanced Context-Aware CoAP Extension for Smart Objects Discovery in Internet of Things","S. Kajwadkar; V. K. Jain","Computer Science and Engineering, PDPM IIITDM, Jabalpur, India; Computer Science and Engineering, PDPM IIITDM, Jabalpur, India",2018 Conference on Information and Communication Technology (CICT),"27 May 2019","2018","","","1","6","The Internet of Things(IoT) can be defined as the network of physical objects, which may be anything like physical devices, automobiles, appliances, animals or even people, all connected directly or indirectly with each other, able to share and exchange data [6]. These physical objects after getting connected to the Internet can provide smart services and are therefore known as smart objects. For the realization of IoT, it is necessary for the smart objects to discover and interact each other without human intervention. The number of smart objects connected to IoT are increasing at a rapid rate, creating an overhead for the users of controlling these many smart objects. One smart solution to this problem is the use of Context-Aware Communication. This work aims to propose Enhanced Context-Aware CoAP Extension for smart objects discovery in Internet of Things (IoT), namely ECTX-CoAP, which is enhancement of CoAP-CTX [2]. CoAP-CTX is able to do Context-Aware discovery of smart objects but at the cost of discovery response time. The enhancement to CoAP-CTX is made by first, reducing discovery response time, comparable to CoAP and second, by adding the concept of Group Communication functionality to it other than multi-casting. The proposed ECTX-CoAP is implemented in Contiki using Cooja simulator. The experimental results show that the proposed enhancement has successfully reduced the discovery time and number of messages exchanged, also allowing users to access a group of smart objects efficiently.","","978-1-5386-8215-9","10.1109/INFOCOMTECH.2018.8722425","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8722425","Internet of Things;smart objects;discovery;CoAP;CoAP-CTX;Group Communication","Internet of Things;Protocols;Servers;Temperature sensors;Time factors","","","","9","IEEE","27 May 2019","","","IEEE","IEEE Conferences"
"Analysis of the role of machine learning in the Internet of things (IoT)","K. -D. Haouam","Computer Engineering Department, College of Engineering and Architecture, Al Yamamah University, Riyadh, Saudi Arabia",2023 7th IEEE Congress on Information Science and Technology (CiSt),"5 Feb 2024","2023","","","725","730","The integration of Machine Learning (ML) inside the framework of the Internet of Things (IoT) has initiated a novel era of technological progress, exerting influence on diverse sectors including healthcare, transportation, and smart cities. The primary objective of this study is to examine and provide a critical analysis of the significant roles that ML plays in enhancing the functionalities of the Internet of Things IoT. This study employs a qualitative research technique to examine four key domains: data analysis and prediction, security, optimisation, and user experience. In this regard, a critical analysis of existing literature and some case studies is conducted. The findings indicate that the integration of ML with the IoT has multiple benefits including enhancing security measures, operational optimisation, and the overall user experience. This study significantly contributes to the present literature by addressing existing literature gaps and offering practical insights for the key stakeholders.","2327-1884","978-1-6654-6133-7","10.1109/CiSt56084.2023.10409988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10409988","Machine Learning;Internet of Things;Data Analysis;Security;Optimization","Transportation;Machine learning;User experience;Internet of Things;Security;Stakeholders;Optimization","","","","26","IEEE","5 Feb 2024","","","IEEE","IEEE Conferences"
