title,abstract,authors,year,venue,doi,source,citation_count
Recognition of Attacks on IoT Devices and Their Prevention Using Deep Learning Methods,"The Internet of Things (IoT) has caused a revolution in many different industries by making it possible for connected smart devices to communicate with one another effortlessly. However, due to the growing number of potential access points for assaults, this interconnectivity also presents substantial issues for the maintenance of information security. This research article investigates the application of deep learning methods to identify and prevent attacks against the IoT. We give a comprehensive examination of ANN and DNN based on deep learning to improve the security and resilience of Internet of Things networks. The effectiveness of the suggested model is evaluated in this paper through tests conducted on data taken from the real world, revealing the ability of the model to protect IoT devices from being compromised by cyberattacks. Accuracy, precision, recall, and f1 score are the measures of evaluation that are utilized in the process of comparing and contrasting performance. The system passed the DNN accuracy test with a score of 99%.","Bhupender Singh Rawat, Animesh Srivastava, Gulbir Singh, Vivek Bhatnagar, S. Dhondiyal",2023.0,2023 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),10.1109/ICBDS58040.2023.10346287,Semantic Scholar,3.0
A Novel Hybrid Quantum-Crypto Standard to Enhance Security and Resilience in 6G-Enabled IoT Networks,"One of the most significant threats that hinder the effective functioning of existing models and technologies in 6G networks, particularly within the realms of Industry 5.0, is the lack of privacy and security. Traditional cryptographic models that were once considered secure have proven to be vulnerable to an expanding range of threats, such as quantum attacks. This vulnerability results in the exposure of sensitive data to unauthorized breaches and compromises the integrity and overall functionality of the network. Access control mechanisms implemented up to this point could not ensure that security compromises are prevented as secure data sharing is facilitated effortlessly. As a result, attempts to access sensitive data without authorization are often made, leaving the networks vulnerable to distributed denial of service (DDoS) attacks that have the potential to disrupt their operation. Considering these pervasive challenges, our article proposes an innovative hybrid protocol suite explicitly designed for 6G networks in Industry 5.0. Specifically, our approach integrates leading-edge technologies, such as nth-degree truncated polynomial ring unit encryption with supersingular isogeny Diffie–Hellman (NTRUEncrypt-SIDH) and key-policy attribute-based encryption (KP-ABE). It aims to address the vulnerabilities associated with traditional cryptographic models to ensure high confidentiality and authorized data sharing. Moreover, we implement modern DDoS mitigation techniques, such as rate limiting, traffic filtering, and adaptive routing, to enhance the resilience of the network and ensure that system operation remains uninterrupted. Experimental evaluations demonstrate the superiority of the proposed model over existing standards. Notably, the hybrid protocol achieves encryption and decryption times of 1.8 s and 1.667 s per gigabyte (GB), respectively, with a key generation time of 2.857 s per GB, ensuring efficient performance even in resource-constrained environments. The system achieves a total computational overhead of 11.7 ms for KP-ABE combined with NTRUEncrypt-SIDH, outperforming other cryptographic combinations. In addition, the model exhibits enhanced scalability, flexibility, and security, offering robust defenses against quantum and classical threats while ensuring seamless user policy-based access control. These results underscore the proposed hybrid cryptosystem's potential as a transformative standard for the secure and efficient operation of 6G networks in Industry 5.0.","K. Singamaneni, A. K. Budati, Shayla Islam, Raenu Kolandaisamy, Ghulam Muhammad",2025.0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2025.3540905,Semantic Scholar,2.0
"Blockchain with IoT to enhance security, data integrity, and automation","The integration of Blockchain technology with the Internet of Things (IoT) presents a transformative approach to addressing critical challenges in security, data integrity, and automation. This paper explores the synergies between these technologies, proposing a framework that leverages the decentralized and immutable nature of Blockchain to enhance IoT ecosystems. By eliminating single points of failure, Blockchain ensures robust security for IoT devices and networks. Furthermore, its transparent and tamper-resistant data structure guarantees the integrity of data exchanged across IoT systems. The study also examines how smart contracts can automate processes within IoT environments, enabling real-time decision-making and reducing human intervention. Practical use cases, such as secure supply chain management, automated healthcare systems, and industrial IoT applications, are discussed to illustrate the effectiveness of the proposed framework. The results demonstrate significant improvements in system resilience, trustworthiness, and operational efficiency, highlighting the potential of Blockchain-enabled IoT to revolutionize diverse industries.",Thi-Nhung Nguyen,2025.0,HPU2 Journal of Science: Natural Sciences and Technology,10.56764/hpu2.jos.2025.4.01.84-94,Semantic Scholar,0.0
IoT-Enabled Cybersecurity for Datacenters - Real-Time Threat Monitoring and Incident Response,"This article presents a comprehensive analysis of an IoT-enabled cybersecurity implementation at a major data center service provider operating across multiple regions. It examines the integration of advanced artificial intelligence and machine learning models with IoT sensors to enhance threat detection and incident response capabilities. The platform's innovative approach combines real-time infrastructure monitoring with automated response mechanisms, leveraging continuous learning algorithms to adapt to evolving cyber threats. By analyzing patterns in power consumption, cooling systems, and network behavior, the system demonstrates significant improvements in threat detection and response efficiency. The implementation showcases how intelligent IoT integration in data center security can strengthen operational resilience while ensuring regulatory compliance across critical sectors including banking, healthcare, and telecommunications.",Mahesh Kolli,2025.0,International Journal of Scientific Research in Computer Science Engineering and Information Technology,10.32628/cseit25112412,Semantic Scholar,0.0
Revenue-Optimal Contract Design for Content Providers in IoT-Edge Caching,"Edge caching is crucial in the Internet of Things (IoT) by accelerating content delivery and reducing latency, offering significant advantages. However, inappropriate incentive mechanisms may prevent third-party edge caching nodes from caching data. To address the incentive challenges in edge caching, this article proposes a contract theory approach to resolve the incentive issues between content providers (CPs) (Google and Microsoft) and edge caching nodes. Initially, utilizing the framework of contract theory, the security service quality of edge caching nodes is classified into a finite number of types, and transactions between CPs and edge caching nodes are modeled. Subsequently, contract packages containing popular data content and corresponding rewards are designed for different types of edge caching nodes. Utilizing the revelation principle of contract theory addresses the problem of incomplete information in the system, enabling CPs to maximize revenue. A blockchain-based reputation mechanism is employed to identify abnormal nodes within edge caching nodes. Numerical results demonstrate that, compared to other mechanisms, our proposed contracts can effectively incentivize the participation of edge caching nodes, significantly enhance CPs’ revenue, and improve content delivery efficiency and effectiveness.","Hongtao Li, Ying Chen, Yaozong Yang, Jiwei Huang",2024.0,IEEE Internet of Things Journal,10.1109/JIOT.2024.3385446,Semantic Scholar,2.0
IOT-Powered Substation Surveillance System,"An IoT-based substation monitoring system provides an intelligent and efficient means for the continuous, real-time observation of critical parameters in power substations, overcoming the shortcomings of conventional monitoring that predominantly depends on manual inspection. This system incorporates IoT sensors to continually monitor voltage, current, temperature, humidity, and gas levels (including SF6), hence evaluating the operational integrity of substations. The gathered data is conveyed across secure networks to a central server or cloud platform for processing and analysis. The system use predictive analytics to detect early indicators of equipment failure or performance irregularities, activating warnings for prompt intervention. This reduces downtime, averts expensive repairs, and prolongs the lifespan of essential substation components by facilitating condition-based maintenance instead of conventional, time-based inspections. Operators can obtain real-time data and alarms via an intuitive online or mobile interface, enabling remote monitoring of substations and facilitating timely, data-informed choices. The IoT-based monitoring system improves operational safety, efficiency, and reliability in energy distribution through remote oversight and rapid response capabilities. This technology-centric strategy not only diminishes maintenance expenses and enhances asset management but also fortifies the power grid’s resilience, allowing it to satisfy escalating demands for stability, automation, and efficiency.","Chetan Deore, Vaibhav Varade, Dnyaneshwar Bhil, Gunavant Patil, Umesh Ahire",2024.0,International Journal of Current Science Research and Review,10.47191/ijcsrr/v7-i12-55,Semantic Scholar,0.0
SCOTRES: Secure Routing for IoT and CPS,,"George Hatzivasilis, I. Papaefstathiou, C. Manifavas",2017.0,IEEE Internet of Things Journal,10.1109/JIOT.2017.2752801,Semantic Scholar,74.0
A software-defined architecture for control of IoT cyberphysical systems,"Based on software-defined principles, we propose a holistic architecture for cyberphysical systems (CPS) and internet of things (IoT) applications, and highlight the merits pertaining to scalability, flexibility, robustness, interoperability, and cyber security. Our design especially capitalizes on the computational units possessed by smart agents, which may be utilized for decentralized control and in-network data processing. We characterize the data flow, communication flow, and control flow that assimilate a set of components such as sensors, actuators, controllers, and coordinators in a systemic programmable fashion. We specifically aim for distributed and decentralized decision-making by spreading the control over several hierarchical layers. In addition, we propose a middleware layer to encapsulate units and services for time-critical operations in highly dynamic environments. We further enlist a multitude of vulnerabilities to cyberattacks, and integrate software-defined solutions for enabling resilience, detection and recovery. In this purview, several controllers cooperate to identify and respond to security threats and abnormal situations in a self-adjusting manner. Last, we illustrate numerical simulations in support of the virtues of a software-defined design for CPS and IoT.","Ala Darabseh, N. Freris",2018.0,Cluster Computing,10.1007/s10586-018-02889-8,Semantic Scholar,31.0
Integrated simulation testbed for security and resilience of CPS,,"H. Neema, Bradley Potteiger, X. Koutsoukos, G. Karsai, P. Völgyesi, J. Sztipanovits",2018.0,ACM Symposium on Applied Computing,10.1145/3167132.3167173,Semantic Scholar,13.0
Cybersecurity in the Internet of Things (IoT) Era: Safeguarding Connected Systems and Data,"In the era of the Internet of Things (IoT), where devices are interconnected at an unprecedented scale, ensuring cybersecurity has become paramount. This journal article explores the challenges and strategies associated with safeguarding connected systems and data in the IoT landscape. The study delves into the unique cybersecurity risks posed by the proliferation of IoT devices and analyzes the evolving threat landscape. 
The article begins by elucidating the significance of IoT in contemporary society, emphasizing its transformative impact on various sectors. Subsequently, it identifies the vulnerabilities inherent in interconnected systems, ranging from privacy concerns to potential disruptions caused by cyber-attacks. 
A comprehensive review of current cybersecurity frameworks and protocols follows, assessing their efficacy in addressing the dynamic threats faced by IoT ecosystems. The study highlights the importance of encryption, authentication, and intrusion detection in fortifying IoT networks against cyber threats. 
Case studies and real-world examples are employed to illustrate the practical implications of cybersecurity vulnerabilities in IoT devices. Furthermore, the article examines emerging technologies and innovative approaches aimed at enhancing the resilience of connected systems. 
The findings underscore the need for a holistic cybersecurity approach that integrates technological advancements with robust policies and user awareness. Recommendations include the adoption of standardized security measures, continuous monitoring, and collaborative efforts among stakeholders to mitigate IoT-related risks. 
In conclusion, this article contributes to the discourse on IoT cybersecurity, offering insights into the evolving nature of threats and effective countermeasures. As society becomes increasingly reliant on interconnected devices, ensuring the security of IoT ecosystems is imperative for fostering a trustworthy and resilient digital environment.","Mohamad Irwansyah, Indah Mahadewi, Mardi Anwar, Syaiful Anwar, L. Judijanto",2023.0,Global International Journal of Innovative Research,10.59613/global.v1i3.39,Semantic Scholar,3.0
CPS-Based Self-Adaptive Collaborative Control for Smart Production-Logistics Systems,"Discrete manufacturing systems are characterized by dynamics and uncertainty of operations and behavior due to exceptions in production-logistics synchronization. To deal with this problem, a self-adaptive collaborative control (SCC) mode is proposed for smart production-logistics systems to enhance the capability of intelligence, flexibility, and resilience. By leveraging cyber-physical systems (CPSs) and industrial Internet of Things (IIoT), real-time status data are collected and processed to perform decision making and optimization. Hybrid automata is used to model the dynamic behavior of physical manufacturing resources, such as machines and vehicles in shop floors. Three levels of collaborative control granularity, including nodal SCC, local SCC, and global SCC, are introduced to address different degrees of exceptions. Collaborative optimization problems are solved using analytical target cascading (ATC). A proof of concept simulation based on a Chinese aero-engine manufacturer validates the applicability and efficiency of the proposed method, showing reductions in waiting time, makespan, and energy consumption with reasonable computational time. This article potentially enables manufacturers to implement CPS and IIoT in manufacturing environments and build up smart, flexible, and resilient production-logistics systems.","Zhengang Guo, Yingfeng Zhang, Xibin Zhao, Xiaoyu Song",2020.0,IEEE Transactions on Cybernetics,10.1109/TCYB.2020.2964301,Semantic Scholar,91.0
"Analysis of Automation in Foundries for Transforming Production Efficiency, Quality Control, and Operational Resilience","The foundry industry, a cornerstone of manufacturing, has undergone significant transformations due to the integration of automation technologies. This survey paper examines the evolution of automation in foundries, exploring its historical development, key adoption drivers, and the ongoing challenges faced by traditional operations. Technological advancements driving this change include the Industrial Internet of Things (IIoT), robotics, artificial intelligence (AI), machine learning (ML), and cyber-physical systems (CPS), such as digital twins. Through case studies, the paper illustrates practical implementations of these technologies, such as IoT-enabled monitoring, robotics in core making and molding, AI-driven defect detection, and CPS integration in smart foundries. The advantages of automation are emphasized, including increased productivity, improved quality control, energy efficiency, sustainability, and enhanced workplace safety. Despite these benefits, the adoption of automation faces significant hurdles, such as high initial investment costs, integration with legacy systems, skill gaps, and cybersecurity concerns. The paper also identifies future trends, including the rise of collaborative robotics (cobots), edge computing, 5G technologies, and the vision for fully autonomous foundries. This comprehensive survey offers valuable insights into the current state of foundry automation, its transformative potential, and future directions for researchers and industry stakeholders seeking to leverage these advancements for operational excellence.","Bhagyanathan C, Sarvesh J, Vishal G, Rithvik R",2025.0,2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),10.1109/ICMLAS64557.2025.10967654,Semantic Scholar,0.0
A Theoretical Framework of Smart System Modelling of Crop Based on GAN and IoT Platform,". The advent of the communication and cutting edge technologies is playing a key role in reforming the various sectors and so as in the field of the agronomy. The use of the internet of the things (IOT) technologies is setting the new horizon through automation intelligence for the precision agriculture (PAg) is nothing but combination of communication technologies using information integration along with the control technologies in the field of agriculture. Greenhouses facing the problem of barren land basically need such systems potentially relevant to control re-circulation in the optimal way needed to such green houses. In this paper the proposed system is segregated essentially into three parts to have better understanding of the system architecture. These first, second and parts are termed as Cyber Physical System (CPS) layer, edge computing layer and cloud computing-gan layer respectively with use of IOT protocols like message queuing telemetry transport (MQTT) protocol or constrained application protocol (CoAP) for communication purpose [3]. The third and the final layer which is termed as cloud-gan layer gets further bifurcated into two parts i.e. Cloud part and the GAN [1] part. The cloud platform is responsible to perform the historical and current data analysis and the second part known as generative adversarial nets (GAN) based on the two multilayer perceptron models known as generator and discriminator. This paper describes the theoretically concept of using GAN with the three tier system discussed above. GAN uses the analyzed data from the cloud part and then generator generates the data distribution (probability distribution) and then discriminator discriminate the data on the certain required defined in the system to enable the system automation to make more optimized decision to enhance the system ability to increase the production of the intended crops. GAN part works on the min max concept in which discriminator is trained to maximize the level assignment probability whereas generator is getting trained to minimize the chances of mistakes done by discriminator to support more accurate result. The concept of the GAN with the existing system mentioned above will enable the system to enhance its intelligence in order to make more sharpen and accurate decision..","W. Ansari, Yuwang Yang",2021.0,"Proceedings of the 2nd International Conference on ICT for Digital, Smart, and Sustainable Development, ICIDSSD 2020, 27-28 February 2020, Jamia Hamdard, New Delhi, India",10.4108/EAI.27-2-2020.2303294,Semantic Scholar,0.0
"A Survey on Cyber Physical System Security for IoT: Issues, Challenges, Threats, Solutions","Recently, Cyber Physical System (CPS) is one of the core technologies for realizing Internet of Things (IoT). The CPS is a new paradigm that seeks to converge the physical and cyber worlds in which we live. However, the CPS suffers from certain CPS issues that could directly threaten our lives, while the CPS environment, including its various layers, is related to on-the-spot threats, making it necessary to study CPS security. Therefore, a survey-based in-depth understanding of the vulnerabilities, threats, and attacks is required of CPS security and privacy for IoT. In this paper, we analyze security issues, threats, and solutions for IoT-CPS, and evaluate the existing researches. The CPS raises a number challenges through current security markets and security issues. The study also addresses the CPS vulnerabilities and attacks and derives challenges. Finally, we recommend solutions for each system of CPS security threats, and discuss ways of resolving potential future issues.","Nam Yong Kim, S. Rathore, Jung Hyun Ryu, J. H. Park, J. Park",2018.0,Journal of Information Processing Systems,10.3745/JIPS.03.0105,Semantic Scholar,49.0
Digital twins: artificial intelligence and the IoT cyber-physical systems in Industry 4.0,"This paper presents a summary of mechanisms for the evolution of artificial intelligence in ‘internet of things’ networks. Firstly, the paper investigates how the use of new technologies in industrial systems improves organisational resilience supporting both a technical and human level. Secondly, the paper reports empirical results that correlate academic literature with Industry 4.0 interdependencies between edge components to both external and internal services and systems. The novelty of the paper is a new approach for creating a virtual representation operating as a real-time digital counterpart of a physical object or process (i.e., digital twin) outlined in a conceptual diagram. The methodology applied in this paper resembled a grounded theory analysis of complex interconnected and coupled systems. By connecting the human–computer interactions in different information knowledge management systems, this paper presents a summary of mechanisms for the evolution of artificial intelligence in internet of things networks.","P. Radanliev, D. De Roure, R. Nicolescu, M. Huth, Omar Santos",2021.0,International Journal of Intelligent Robotics and Applications,10.1007/s41315-021-00180-5,Semantic Scholar,58.0
Toward Discovery and Attribution of Digital Assaults in IoT-Enabled Digital Actual Frameworks,"Cyber-physical systems (CPS) that are enabled by the Internet of Things (IoT) can be difficult to protect because security measures designed for general information/operational technology (IT/OT) systems may not be as effective in a CPS setting. As a result, an industrial control system (ICS)-specific, two-level ensemble attack detection and attribution framework is presented in this article. A decision tree and a novel ensemble deep representation-learning model are used to detect attacks in imbalanced ICS environments at the first level. An ensemble deep neural network is made to make attack attribution easier at the second level. Gas pipeline and water treatment system data sets are used to evaluate the proposed model. The results show that, despite having a similar computational complexity, the proposed model performs better than other competing methods","Ch. Srinivas Goutham, Bevera Nikhil, Chammallamudi Sritrivedhi, Ch Sudhir Kumar, L Sankara Rao",2023.0,"International Journal of Advanced Research in Science, Communication and Technology",10.48175/ijarsct-9176,Semantic Scholar,0.0
Machine Learning Techniques for IoT Intrusions Detection in Aerospace Cyber-Physical Systems,,Yassine Maleh,2019.0,Studies in Computational Intelligence,10.1007/978-3-030-20212-5_11,Semantic Scholar,22.0
On the Resilience of DAG-Based Distributed Ledgers in IoT Applications,"Distributed ledgers have been proposed for a number of applications in the Internet-of-Things domain where it is essential to have an immutable and irreversible record of transactions. Directed acyclic graph (DAG)-based architectures, in particular, seem to provide a vast array of advantages over the more traditional Blockchain; however, it can be challenging to conduct a thorough analysis of DAG-based ledgers and derive reliable performance guarantees. In this article, we analyze one commonly discussed attack scenario known as the parasite chain attack, which aims at disrupting the immutability and irreversibility of the ledger, in the context of the IOTA Foundation’s DAG-based system. Using a Markov chain model, we study the vulnerabilities of IOTA’s core tip selection method against this attack and we present an extension of the algorithm to improve the resilience of the ledger in this scenario.","Andrew Cullen, P. Ferraro, Christopher K. King, R. Shorten",2020.0,IEEE Internet of Things Journal,10.1109/jiot.2020.2983401,Semantic Scholar,41.0
Cognitive Cybersecurity for CPS-IoT Enabled Healthcare Ecosystems,"Cyber Physical Systems (CPS)-Internet of Things (IoT) enabled healthcare services and infrastructures improve human life, but are vulnerable to a variety of emerging cyber-attacks. Cybersecurity specialists are finding it hard to keep pace of the increasingly sophisticated attack methods. There is a critical need for innovative cognitive cybersecurity for CPS-IoT enabled healthcare ecosystem. This paper presents a cognitive cybersecurity framework for simulating the human cognitive behaviour to anticipate and respond to new and emerging cybersecurity and privacy threats to CPS-IoT and critical infrastructure systems. It includes the conceptualisation and description of a layered architecture which combines Artificial Intelligence, cognitive methods and innovative security mechanisms.",H. Abie,2019.0,International Symposium on Medical Information and Communication Technology,10.1109/ISMICT.2019.8743670,Semantic Scholar,38.0
The Increasingly Critical Role of Communication Networks in Enhancing Power Grid Resilience Under Climate Change,": The increasing frequency and severity of extreme weather events, driven by climate change, pose significant challenges to the resilience of power grids worldwide. As critical infrastructure, power grids must adapt to these disruptions while meeting the growing demands of renewable energy integration, distributed energy resources (DERs), and energy system electrification. This position paper highlights the important role of communication networks in enhancing power grid resilience and the integration of renewable energy resources. Advanced communication technologies, such as 5G, IoT, and AI-driven analytics, enable real-time monitoring, fault detection, demand forecasting, and resource optimization, all of which are crucial for grid reliability under dynamic and extreme conditions. The paper analyses the vulnerability of electricity grids to climate-related disruptions, examines technical solutions to these challenges and provides strategic recommendations for the design of robust communication infrastructures. With a focus on redundancy, supporting technologies such as 5G and AI-powered analytics and decision support, this paper makes the argument for prioritising investment in resilient communication systems to future-proof power grids. By presenting communication networks as an essential part of grid modernisation, this paper underlines their crucial role in ensuring reliable, efficient and adaptable energy systems in the face of climate change.",Oliver Jung,2025.0,International Conference on Smart Grids and Green IT Systems,10.5220/0013481500003953,Semantic Scholar,0.0
A hybrid machine learning model for detecting cybersecurity threats in IoT applications,,"Midighe Usoh, Philip Asuquo, S. Ozuomba, B. Stephen, Udoinyang G. Inyang",2023.0,International journal of information technology,10.1007/s41870-023-01367-8,Semantic Scholar,21.0
Adaptive Control for Security and Resilience of Networked Cyber-Physical Systems: Where Are We?,"Cyber-Physical Systems (CPSs), a class of complex intelligent systems, are considered the backbone of Industry 4.0. They aim to achieve large-scale, networked control of dynamical systems and processes such as electricity and gas distribution networks and deliver pervasive information services by combining state-of-the-art computing, communication, and control technologies. However, CPSs are often highly nonlinear and uncertain, and their intrinsic reliance on open communication platforms increases their vulnerability to security threats, which entails additional challenges to conventional control design approaches. Indeed, sensor measurements and control command signals, whose integrity plays a critical role in correct controller design, may be interrupted or falsely modified when broadcasted on wireless communication channels due to cyber attacks. This can have a catastrophic impact on CPS performance. In this paper, we first conduct a thorough analysis of recently developed secure and resilient control approaches leveraging the solid foundations of adaptive control theory to achieve security and resilience in networked CPSs against sensor and actuator attacks. Then, we discuss the limitations of current adaptive control strategies and present several future research directions in this field.","Talal Halabi, I. Haque, H. Karimipour",2022.0,"International Conference on Trust, Privacy and Security in Intelligent Systems and Applications",10.1109/TPS-ISA56441.2022.00037,Semantic Scholar,0.0
"A Review of Cyber-Physical System Research Relevant to the Emerging IT Trends: Industry 4.0, IoT, Big Data, and Cloud Computing","Recently, there has been an explosive growth in the development and implementation of various Cyber-Physical Systems (CPS). Accordingly, CPS-related research and advancements in CPS technologies have increasingly been part of the emerging trends in IT areas such as Internet of Things (IoT), Big Data, cloud computing, and Industry 4.0. However, there are only a few research efforts that identify the comprehensive CPS research trends relevant to the emerging IT trends. Therefore, the aim of this paper is to explore what CPS research topics are related to the emerging IT trends and to investigate how industries have implemented CPS technologies.",Jin Ho Kim,2017.0,,10.1142/S2424862217500117,Semantic Scholar,169.0
Enhancing IoT Data Security with Blockchain Based Inner Product Encryption Algorithm,"This paper introduces a pioneering approach to enhancing access control in IoT systems by combining blockchain technology and inner product encryption. By leveraging the immutability and transparency of blockchain and the cryptographic strength of inner product encryption, the proposed framework addresses key challenges such as scalability, interoperability, and trustworthiness. It decentralizes authentication, ensuring robustness and eliminating single points of failure, while also safeguarding data privacy through advanced cryptographic techniques. The framework demonstrates superior security, efficiency, and resilience compared to conventional methods, as validated through extensive simulations and evaluations across various IoT deployment scenarios. Additionally, the solution offers scalability and interoperability, facilitating seamless integration with diverse IoT architectures and protocols. The paper concludes by discussing potential deployment considerations and outlining future research directions to further advance blockchain-driven access control with inner product encryption for IoT applications.","Dr K Poongodi, C. Gopica, A. Amrin, Dhaya Sanjai, R. Praveen",2024.0,2024 International Conference on Knowledge Engineering and Communication Systems (ICKECS),10.1109/ICKECS61492.2024.10616719,Semantic Scholar,2.0
Throughput-Efficient Lagrange Coded Private Blockchain for Secured IoT Systems,"We develop a new Lagrange coded blockchain model for Internet-of-Things (IoT) systems based on Lagrange coded computing (LCC). In the model, a mining task assigned to a blockchain node (BN) is encoded with a specific encoding function. Thus, the final result, i.e., newly generated block or block verification result, can be decoded even when only some mining outputs returned by BNs are correct, while other outputs are erroneous or discarded due to delays. To be decoded correctly, the number of mining outputs returned prior to decoding must be at least a given decoding threshold. Then, security against malicious BNs and resilience against stragglers can be guaranteed if the number of mining tasks allocated to BNs is not less than the sum of decoding threshold, number of stragglers, and double of the number of malicious BNs. Unlike other IoT blockchains and LCC-based methods showing enhanced throughput but yielding poor security, our model can improve throughput without compromising on security. This is achieved through optimized load allocations when the higher loads (two or more mining tasks) are allocated to the fastest BNs leading to: 1) increased number of mining outputs returned prior to decoding required to meet the decoding threshold and 2) increased number of allocated mining tasks to strengthen security and resilience. To overcome the limitation of our model related to higher loads and, hence, higher mining costs to BNs, we develop a contract-theoretic mechanism that incentivizes each BN to complete its mining task through joint load and transaction fee allocations.","Alia Asheralieva, D. Niyato",2021.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3071563,Semantic Scholar,17.0
Intelligent FaultEdge: AI-Driven Fault-Tolerant Edge Framework for Smart Grid Monitoring in IoT,"Smart grid monitoring in IoT environments demands robust fault tolerance mechanisms to ensure uninterrupted operation and data accuracy. The integration of advanced machine learning with fault-tolerant strategies in the proposed Intelligent FaultEdge framework represents a significant innovation. Unlike traditional reactive systems, Intelligent FaultEdge adopts a proactive approach, leveraging predictive analytics, anomaly detection, and adaptive reconfiguration to anticipate and manage potential faults in real-time. This proactive framework not only enhances the reliability and resilience of smart grid operations but also minimizes downtime, improves safety, and optimizes energy efficiency. By continuously monitoring grid conditions and dynamically adjusting to evolving scenarios, Intelligent FaultEdge supports sustainable and secure smart grid management. This paper presents a comprehensive framework aligned with the goals of modern intelligent systems, offering an efficient solution for enhancing the reliability and performance of IoT-enabled smart grids. Through its proactive fault management capabilities, Intelligent FaultEdge contributes to advancing smart infrastructure, ensuring dependable energy supply, and supporting the evolution towards more resilient and efficient smart grids.","Tushar Singh, Sudhakar Kumar, Sunil K. Singh, Vanshika Chilkoti, Shavi Bansal, Kwok Tai Chui, B. B. Gupta",2024.0,IEEE International Conference on Intelligent Systems,10.1109/IS61756.2024.10705247,Semantic Scholar,1.0
Elevating Grid Resilience: An Integrated Power Meter and Outage Reporting System,"- In a world grappling with power sector complexities, Africa stands at the forefront of challenges due to ageing infrastructure and resource constraints. Somalia emerges as a representative case within this context, plagued by an inadequate power distribution grid that frequently succumbs to outages. However, hope shines through Internet of Things (IoT) technologies. These innovative solutions harness the power of sensors to closely monitor real-time power disruptions while intelligent meters gauge energy consumption. Through such advancements, the efficiency and dependability of power distribution networks can be remarkably enhanced. Furthermore, this technology empowers consumers by furnishing them instant insights into their energy usage and associated costs. This scholarly work introduces an innovative concept: an IoT-driven system tailored for Somalia, seamlessly integrating power outage and energy consumption reporting. The system’s viability and potential impact are set to be rigorously evaluated in actual operational conditions, marking a pivotal step towards a more resilient and resourceful energy landscape.","M. Abdullahi, Said Abdulkadir Ga’al, Abdukadir Dahir Jimale",2023.0,International Journal of Electrical and Electronics Engineering,10.14445/23488379/ijeee-v10i11p113,Semantic Scholar,0.0
AI-Driven Digital Mirror Technology for Securing IoT-Enabled Smart Infrastructures,"The expansion of the Internet of Things (IoT) is driven by the proliferation of interconnected wireless gadgets, made possible by ever-improving computer and Internet infrastructure. The IoT is an extensive system of interconnected sensors and gateways. In the course of their constant environmental interaction, IoT devices produce a wealth of data resources, including images, audio, video, digital signals, and more. Connectivity to the Internet allows all Internet of Things (IoT) equipment and apps to exchange data and resources more effectively. The proposed AI-Driven Digital Mirror Technology effectively enhances the security of IoT-enabled smart infrastructures by integrating real-time monitoring, anomaly detection, and adaptive response mechanisms. By employing advanced AI algorithms such as Graph Neural Networks (GNNs) and Reinforcement Learning (RL), the technology mirrors IoT environments digitally, enabling dynamic modeling and threat assessment. The system demonstrated a significant improvement in threat detection accuracy, achieving a precision rate of 95.6% and a recall rate of 93.2% during simulations. Additionally, the adaptive response mechanism reduced the average response time to security breaches by 40%, ensuring minimal disruption to infrastructure operations. Comparative analysis with traditional security solutions highlighted the system's superiority in mitigating complex, multi-layered attacks, and its scalability makes it suitable for various smart infrastructure applications, including smart cities, industrial automation, and intelligent transportation systems. The results underscore the potential of AI-Driven Digital Mirror Technology in securing IoT ecosystems against evolving cyber threats while maintaining operational efficiency and resilience.","Jyoti Chaudhary, Upma Jain, Sudarshan N, Vasudeva Pai, Kamal Sutaria, N. L",2024.0,2024 International Conference on Integrated Intelligence and Communication Systems (ICIICS),10.1109/ICIICS63763.2024.10859436,Semantic Scholar,0.0
